max_depth,R2_train,R2_cv_mean,R2_cv_std,diff_overfit
3,0.6733,0.6689,0.0095,0.0044
5,0.7968,0.7924,0.0079,0.0043
10,0.9423,0.9283,0.0057,0.014
15,0.9844,0.9649,0.0024,0.0195
20,0.9966,0.9741,0.0029,0.0225
