Model,R2,MAE,RMSE,CV_R2_Mean,CV_R2_Std
Regressão Linear,0.7551418730311974,29582.513074169805,42144.04504117014,0.7534117639552658,0.011317711896306945
Árvore de Decisão,0.9281217528276582,12999.385593853114,22833.77381925605,0.9283347462358117,0.005663771469414991
